Job Role,Job Description,Title,Location
Software Engineer,We are looking for a skilled Software Engineer to join our team. You will be responsible for developing and maintaining web applications using Python and React. The ideal candidate should have 3+ years of experience in software development.,Software Engineer,Bengaluru
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions.",Data Scientist,Remote
Frontend Developer,"Looking for an experienced Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Frontend Developer,Remote
DevOps Engineer,"We need a DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines. Experience with AWS, Kubernetes, and automation tools is required.",DevOps Engineer,Pune
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques.,Machine Learning Engineer,Remote
Full Stack Developer,Full-stack development role working on both frontend and backend. MERN stack experience preferred. Build scalable web applications for enterprise clients.,Full Stack Developer,Hyderabad
Python Developer,"Python development position focusing on backend APIs and data processing. Experience with Django, Flask, and data libraries like Pandas required.",Python Developer,Chennai
DevOps Engineer,"We need a junior DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines. Experience with AWS, Azure, Kubernetes, and automation tools is required.",Junior DevOps Engineer,New York
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this mid-level position.",Mid-Level Data Engineer,Hyderabad
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques as a junior member of the team.,Junior Machine Learning Engineer,Austin
Frontend Developer,"Looking for an experienced principal Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Principal Frontend Developer,Delhi NCR
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions at a junior level.",Junior Data Scientist,Remote
Python Developer,"Python development position focusing on backend APIs and data processing. Experience with Django, Flask, and data libraries like Pandas required for this mid-level role.",Mid-Level Python Developer,Gurgaon
Software Engineer,"We are looking for a skilled principal Software Engineer to join our team. You will be responsible for developing and maintaining web applications using Python, Java, or React. The ideal candidate should have relevant experience in software development.",Principal Software Engineer,Hyderabad
Cloud Architect,"Design cloud-based architectures that are scalable, reliable, and secure. Provide technical leadership and guidance on cloud migration strategies.",Mid-Level Cloud Architect,Noida
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this junior position.",Junior Data Engineer,London
